Route,BaselineMeanTrips,EventMeanTrips,AdditionalTrips,PercentChange
191,1063.6934306569342,987.9090909090909,-75.78433974784332,-7.124641138475314
192,1248.5167014613778,1195.1818181818182,-53.33488327955956,-4.271859817103892
193,1692.2541666666666,1271.0,-421.2541666666666,-24.893079004582148
194,828.95,729.0,-99.95000000000005,-12.057422039930037
195,685.4674493062967,587.0909090909091,-98.37654021538754,-14.35174497562883
196,2357.2528735632186,2057.2727272727275,-299.9801462904911,-12.725836487667177
197,505.9989539748954,441.09090909090907,-64.90804488398635,-12.827703372526475
198,201.3274058577406,186.45454545454547,-14.87286040319512,-7.387399812673487
201,68.33333333333333,79.5,11.166666666666671,16.341463414634156
221,250.2156862745098,232.0,-18.215686274509807,-7.279993730898833
295,29.462295081967213,27.5,-1.9622950819672127,-6.6603605608724665
800,235.80536912751677,123.625,-112.18036912751677,-47.57328874341824
809,466.8662486938349,401.45454545454544,-65.41170323928947,-14.010801470933842
813,246.6063492063492,193.3,-53.30634920634918,-21.615967868590765
816,243.60736842105263,186.0,-57.60736842105263,-23.64762970612763
823,74.75450450450451,45.81818181818182,-28.93632268632269,-38.70846697215291
825,81.82125603864735,36.0,-45.82125603864735,-56.001653185333886
832,189.7457831325301,140.9,-48.8457831325301,-25.74275028732165
850,384.3945147679325,272.72727272727275,-111.66724204065974,-29.050165325089445
853,351.46871686108165,299.90909090909093,-51.55962595199071,-14.669762479136859
856,306.98727465535524,208.2,-98.78727465535525,-32.17959922484101
865,339.77894736842103,271.09090909090907,-68.68803827751196,-20.21550740841921
867,462.7023305084746,376.45454545454544,-86.24778505392914,-18.640015268379866
899,187.87770562770564,139.0,-48.87770562770564,-26.0157028554312
