gamePk,event_name,game_date,home_team,away_team,venue_name,venue_id
777455,New York Mets at Atlanta Braves,2025-06-19,Atlanta Braves,New York Mets,Truist Park,4705
777342,Philadelphia Phillies at Atlanta Braves,2025-06-27,Atlanta Braves,Philadelphia Phillies,Truist Park,4705
777333,Philadelphia Phillies at Atlanta Braves,2025-06-28,Atlanta Braves,Philadelphia Phillies,Truist Park,4705
777316,Philadelphia Phillies at Atlanta Braves,2025-06-29,Atlanta Braves,Philadelphia Phillies,Truist Park,4705
777298,Los Angeles Angels at Atlanta Braves,2025-07-01,Atlanta Braves,Los Angeles Angels,Truist Park,4705
777279,Los Angeles Angels at Atlanta Braves,2025-07-02,Atlanta Braves,Los Angeles Angels,Truist Park,4705
777261,Los Angeles Angels at Atlanta Braves,2025-07-03,Atlanta Braves,Los Angeles Angels,Truist Park,4705
777252,Baltimore Orioles at Atlanta Braves,2025-07-04,Atlanta Braves,Baltimore Orioles,Truist Park,4705
777237,Baltimore Orioles at Atlanta Braves,2025-07-05,Atlanta Braves,Baltimore Orioles,Truist Park,4705
777222,Baltimore Orioles at Atlanta Braves,2025-07-06,Atlanta Braves,Baltimore Orioles,Truist Park,4705
777114,New York Yankees at Atlanta Braves,2025-07-18,Atlanta Braves,New York Yankees,Truist Park,4705
777097,New York Yankees at Atlanta Braves,2025-07-19,Atlanta Braves,New York Yankees,Truist Park,4705
777083,New York Yankees at Atlanta Braves,2025-07-20,Atlanta Braves,New York Yankees,Truist Park,4705
777069,San Francisco Giants at Atlanta Braves,2025-07-21,Atlanta Braves,San Francisco Giants,Truist Park,4705
777058,San Francisco Giants at Atlanta Braves,2025-07-22,Atlanta Braves,San Francisco Giants,Truist Park,4705
777041,San Francisco Giants at Atlanta Braves,2025-07-23,Atlanta Braves,San Francisco Giants,Truist Park,4705
776882,Milwaukee Brewers at Atlanta Braves,2025-08-04,Atlanta Braves,Milwaukee Brewers,Truist Park,4705
776869,Milwaukee Brewers at Atlanta Braves,2025-08-05,Atlanta Braves,Milwaukee Brewers,Truist Park,4705
776853,Milwaukee Brewers at Atlanta Braves,2025-08-06,Atlanta Braves,Milwaukee Brewers,Truist Park,4705
776842,Miami Marlins at Atlanta Braves,2025-08-07,Atlanta Braves,Miami Marlins,Truist Park,4705
776834,Miami Marlins at Atlanta Braves,2025-08-08,Atlanta Braves,Miami Marlins,Truist Park,4705
776819,Miami Marlins at Atlanta Braves,2025-08-09,Atlanta Braves,Miami Marlins,Truist Park,4705
776803,Miami Marlins at Atlanta Braves,2025-08-10,Atlanta Braves,Miami Marlins,Truist Park,4705
776696,Chicago White Sox at Atlanta Braves,2025-08-18,Atlanta Braves,Chicago White Sox,Truist Park,4705
776687,Chicago White Sox at Atlanta Braves,2025-08-19,Atlanta Braves,Chicago White Sox,Truist Park,4705
776669,Chicago White Sox at Atlanta Braves,2025-08-20,Atlanta Braves,Chicago White Sox,Truist Park,4705
776645,New York Mets at Atlanta Braves,2025-08-22,Atlanta Braves,New York Mets,Truist Park,4705
776626,New York Mets at Atlanta Braves,2025-08-23,Atlanta Braves,New York Mets,Truist Park,4705
776624,New York Mets at Atlanta Braves,2025-08-24,Atlanta Braves,New York Mets,Truist Park,4705
776460,Seattle Mariners at Atlanta Braves,2025-09-05,Atlanta Braves,Seattle Mariners,Truist Park,4705
776447,Seattle Mariners at Atlanta Braves,2025-09-06,Atlanta Braves,Seattle Mariners,Truist Park,4705
776428,Seattle Mariners at Atlanta Braves,2025-09-07,Atlanta Braves,Seattle Mariners,Truist Park,4705
776412,Chicago Cubs at Atlanta Braves,2025-09-08,Atlanta Braves,Chicago Cubs,Truist Park,4705
776402,Chicago Cubs at Atlanta Braves,2025-09-09,Atlanta Braves,Chicago Cubs,Truist Park,4705
776381,Chicago Cubs at Atlanta Braves,2025-09-10,Atlanta Braves,Chicago Cubs,Truist Park,4705
776360,Houston Astros at Atlanta Braves,2025-09-12,Atlanta Braves,Houston Astros,Truist Park,4705
776346,Houston Astros at Atlanta Braves,2025-09-13,Atlanta Braves,Houston Astros,Truist Park,4705
776329,Houston Astros at Atlanta Braves,2025-09-14,Atlanta Braves,Houston Astros,Truist Park,4705
776221,Washington Nationals at Atlanta Braves,2025-09-22,Atlanta Braves,Washington Nationals,Truist Park,4705
776219,Washington Nationals at Atlanta Braves,2025-09-23,Atlanta Braves,Washington Nationals,Truist Park,4705
776200,Washington Nationals at Atlanta Braves,2025-09-24,Atlanta Braves,Washington Nationals,Truist Park,4705
776180,Pittsburgh Pirates at Atlanta Braves,2025-09-26,Atlanta Braves,Pittsburgh Pirates,Truist Park,4705
776156,Pittsburgh Pirates at Atlanta Braves,2025-09-27,Atlanta Braves,Pittsburgh Pirates,Truist Park,4705
