game_date,league,home_team,event_name,venue_name,longitude,latitude
2024-03-13,NBA,Atlanta Hawks,Minnesota at Atlanta Hawks,State Farm Arena,-84.39639,33.75722
2024-03-14,MLB,Atlanta Braves,Tampa Bay Rays at Atlanta Braves,CoolToday Park,-82.319747,27.032414
2024-03-16,MLB,Atlanta Braves,Pittsburgh Pirates at Atlanta Braves,CoolToday Park,-82.319747,27.032414
2024-03-17,NBA,Atlanta Hawks,Golden State at Atlanta Hawks,State Farm Arena,-84.39639,33.75722
2024-03-17,MLS,Atlanta United FC,Orlando City SC at Atlanta United FC,Mercedes-Benz Stadium,-84.401993,33.755489
2024-03-17,MLB,Atlanta Braves,Boston Red Sox at Atlanta Braves,CoolToday Park,-82.319747,27.032414
2024-03-20,MLB,Atlanta Braves,Toronto Blue Jays at Atlanta Braves,CoolToday Park,-82.319747,27.032414
2024-03-21,NBA,Atlanta Hawks,Detroit at Atlanta Hawks,State Farm Arena,-84.39639,33.75722
2024-03-21,MLB,Atlanta Braves,New York Yankees at Atlanta Braves,CoolToday Park,-82.319747,27.032414
2024-03-23,MLB,Atlanta Braves,Tampa Bay Rays at Atlanta Braves,CoolToday Park,-82.319747,27.032414
2024-03-25,MLB,Atlanta Braves,Minnesota Twins at Atlanta Braves,CoolToday Park,-82.319747,27.032414
2024-03-25,NBA,Atlanta Hawks,Indiana at Atlanta Hawks,State Farm Arena,-84.39639,33.75722
2024-03-26,NBA,Atlanta Hawks,Memphis at Atlanta Hawks,State Farm Arena,-84.39639,33.75722
2024-03-28,NBA,Atlanta Hawks,Cleveland at Atlanta Hawks,State Farm Arena,-84.39639,33.75722
2024-03-31,MLS,Atlanta United FC,Chicago Fire FC at Atlanta United FC,Mercedes-Benz Stadium,-84.401993,33.755489
2024-04-02,NBA,Atlanta Hawks,Dallas at Atlanta Hawks,State Farm Arena,-84.39639,33.75722
2024-04-05,MLB,Atlanta Braves,Arizona Diamondbacks at Atlanta Braves,Truist Park,-84.468239,33.890781
2024-04-05,NBA,Atlanta Hawks,Washington at Atlanta Hawks,State Farm Arena,-84.39639,33.75722
2024-04-06,MLB,Atlanta Braves,Arizona Diamondbacks at Atlanta Braves,Truist Park,-84.468239,33.890781
2024-04-07,MLB,Atlanta Braves,Arizona Diamondbacks at Atlanta Braves,Truist Park,-84.468239,33.890781
2024-04-07,NBA,Atlanta Hawks,Philadelphia at Atlanta Hawks,State Farm Arena,-84.39639,33.75722
2024-04-08,MLB,Atlanta Braves,New York Mets at Atlanta Braves,Truist Park,-84.468239,33.890781
2024-04-09,MLB,Atlanta Braves,New York Mets at Atlanta Braves,Truist Park,-84.468239,33.890781
2024-04-10,MLB,Atlanta Braves,New York Mets at Atlanta Braves,Truist Park,-84.468239,33.890781
2024-04-11,MLB,Atlanta Braves,New York Mets at Atlanta Braves,Truist Park,-84.468239,33.890781
2024-04-14,MLS,Atlanta United FC,Philadelphia Union at Atlanta United FC,Mercedes-Benz Stadium,-84.401993,33.755489
2024-04-19,MLB,Atlanta Braves,Texas Rangers at Atlanta Braves,Truist Park,-84.468239,33.890781
2024-04-20,MLS,Atlanta United FC,FC Cincinnati at Atlanta United FC,Mercedes-Benz Stadium,-84.401993,33.755489
2024-04-20,MLB,Atlanta Braves,Texas Rangers at Atlanta Braves,Truist Park,-84.468239,33.890781
2024-04-21,NBA,Atlanta Hawks,Boston at Atlanta Hawks,State Farm Arena,-84.39639,33.75722
2024-04-21,MLB,Atlanta Braves,Texas Rangers at Atlanta Braves,Truist Park,-84.468239,33.890781
2024-04-22,MLB,Atlanta Braves,Miami Marlins at Atlanta Braves,Truist Park,-84.468239,33.890781
2024-04-23,NBA,Atlanta Hawks,Boston at Atlanta Hawks,State Farm Arena,-84.39639,33.75722
2024-04-23,MLB,Atlanta Braves,Miami Marlins at Atlanta Braves,Truist Park,-84.468239,33.890781
2024-04-24,MLB,Atlanta Braves,Miami Marlins at Atlanta Braves,Truist Park,-84.468239,33.890781
2024-04-26,MLB,Atlanta Braves,Cleveland Guardians at Atlanta Braves,Truist Park,-84.468239,33.890781
2024-04-27,MLB,Atlanta Braves,Cleveland Guardians at Atlanta Braves,Truist Park,-84.468239,33.890781
2024-04-27,NBA,Atlanta Hawks,Boston at Atlanta Hawks,State Farm Arena,-84.39639,33.75722
2024-04-28,MLB,Atlanta Braves,Cleveland Guardians at Atlanta Braves,Truist Park,-84.468239,33.890781
2024-05-04,MLS,Atlanta United FC,Minnesota United FC at Atlanta United FC,Mercedes-Benz Stadium,-84.401993,33.755489
2024-05-07,MLB,Atlanta Braves,Boston Red Sox at Atlanta Braves,Truist Park,-84.468239,33.890781
2024-05-08,MLB,Atlanta Braves,Boston Red Sox at Atlanta Braves,Truist Park,-84.468239,33.890781
2024-05-11,MLS,Atlanta United FC,D.C. United at Atlanta United FC,Mercedes-Benz Stadium,-84.401993,33.755489
